city,aqi,dominant_pollutant,time,pm25,pm10,o3,no2,co,so2,year,month,day,weekday,hour,aqi_category,pm25_norm,pm10_norm,o3_norm,no2_norm,co_norm,so2_norm
Madrid,91,pm25,2025-06-26,21.48,20.95,13.16,-1.0,-1.0,-1.0,2025,6,26,Thursday,0,Moderate,0.4490348797832712,0.31821353803210045,0.5307606263982102,0,0,0
Madrid,94,pm25,2025-06-28,23.67,14.21,12.66,-1.0,-1.0,-1.0,2025,6,28,Saturday,0,Moderate,0.5231967490687437,0.20062805303558967,0.5027964205816554,0,0,0
Madrid,94,pm25,2025-06-30,31.32,12.99,12.86,-1.0,-1.0,-1.0,2025,6,30,Monday,0,Moderate,0.7822553335590925,0.17934403349616193,0.5139821029082773,0,0,0
"Arenula, Roma, Lazio, Italy",34,pm25,2025-06-26,17.36,7.22,10.32,-1.0,-1.0,-1.0,2025,6,26,Thursday,0,Good,0.30951574669827286,0.07868108862526169,0.3719239373601789,0,0,0
"Arenula, Roma, Lazio, Italy",32,pm25,2025-06-28,21.07,7.61,11.92,-1.0,-1.0,-1.0,2025,6,28,Saturday,0,Good,0.43515069420927865,0.08548499651081648,0.4614093959731543,0,0,0
"Arenula, Roma, Lazio, Italy",32,pm25,2025-06-30,35.38,16.44,14.68,-1.0,-1.0,-1.0,2025,6,30,Monday,0,Good,0.9197426346088724,0.2395324494068388,0.6157718120805368,0,0,0
"Arenula, Roma, Lazio, Italy",33,pm25,2025-07-02,28.66,12.95,10.31,-1.0,-1.0,-1.0,2025,7,2,Wednesday,0,Good,0.692177446664409,0.1786461967899511,0.3713646532438479,0,0,0
"Arenula, Roma, Lazio, Italy",34,pm25,2025-07-04,21.24,8.61,11.64,-1.0,-1.0,-1.0,2025,7,4,Friday,0,Good,0.4409075516423975,0.10293091416608513,0.4457494407158836,0,0,0
"Arenula, Roma, Lazio, Italy",34,pm25,2025-07-06,29.36,11.31,7.99,-1.0,-1.0,-1.0,2025,7,6,Sunday,0,Good,0.7158821537419573,0.15003489183531057,0.24161073825503354,0,0,0
"Ecke Taborstraße - Glockengasse, Austria",50,pm25,2025-07-02,13.45,5.71,12.52,-1.0,-1.0,-1.0,2025,7,2,Wednesday,0,Good,0.17710802573653905,0.052337752965806,0.49496644295302006,0,0,0
"Ecke Taborstraße - Glockengasse, Austria",50,pm25,2025-07-04,24.61,8.52,14.29,-1.0,-1.0,-1.0,2025,7,4,Friday,0,Good,0.5550287842871656,0.10136078157711095,0.593959731543624,0,0,0
"Ecke Taborstraße - Glockengasse, Austria",47,pm25,2025-07-06,22.67,11.14,10.64,-1.0,-1.0,-1.0,2025,7,6,Sunday,0,Good,0.4893328818151033,0.14706908583391487,0.38982102908277405,0,0,0
"Ecke Taborstraße - Glockengasse, Austria",48,pm25,2025-07-08,12.15,5.29,13.05,-1.0,-1.0,-1.0,2025,7,8,Tuesday,0,Good,0.13308499830680662,0.04501046755059316,0.5246085011185682,0,0,0
"Ecke Taborstraße - Glockengasse, Austria",51,pm25,2025-07-10,8.22,2.86,6.36,-1.0,-1.0,-1.0,2025,7,10,Thursday,0,Moderate,0.0,0.0026168876482902986,0.15044742729306487,0,0,0
"Ecke Taborstraße - Glockengasse, Austria",47,pm25,2025-07-12,9.99,3.68,3.99,-1.0,-1.0,-1.0,2025,7,12,Saturday,0,Good,0.05993904503894343,0.016922540125610612,0.017897091722595092,0,0,0
Amsterdam,22,pm25,2025-07-08,19.39,10.12,7.57,-1.0,-1.0,-1.0,2025,7,8,Tuesday,0,Good,0.3782593972231629,0.1292742498255408,0.2181208053691275,0,0,0
Amsterdam,21,pm25,2025-07-10,23.78,13.14,3.91,-1.0,-1.0,-1.0,2025,7,10,Thursday,0,Good,0.5269217744666441,0.1819609211444522,0.013422818791946319,0,0,0
Amsterdam,21,pm25,2025-07-12,21.74,10.62,9.1,-1.0,-1.0,-1.0,2025,7,12,Saturday,0,Good,0.45783948526921764,0.13799720865317514,0.30369127516778516,0,0,0
Amsterdam,21,pm25,2025-07-14,22.02,12.55,9.19,-1.0,-1.0,-1.0,2025,7,14,Monday,0,Good,0.467321368100237,0.17166782972784367,0.30872483221476504,0,0,0
Amsterdam,22,pm25,2025-07-16,26.49,11.86,10.45,-1.0,-1.0,-1.0,2025,7,16,Wednesday,0,Good,0.6186928547240094,0.15963014654570828,0.3791946308724831,0,0,0
